x,y,NDVI
395865.0,4751595.0,0.5429995
395895.0,4751595.0,0.55321234
395925.0,4751595.0,0.46977744
395955.0,4751595.0,0.45905426
395985.0,4751595.0,0.4904717
396015.0,4751595.0,0.4644279
396045.0,4751595.0,0.4636766
396075.0,4751595.0,0.49144682
396105.0,4751595.0,0.48246107
396135.0,4751595.0,0.51208675
396165.0,4751595.0,0.56346524
396195.0,4751595.0,0.55478925
396225.0,4751595.0,0.5486401
396255.0,4751595.0,0.5389235
396285.0,4751595.0,0.54381365
396315.0,4751595.0,0.5612459
396345.0,4751595.0,0.5692558
396375.0,4751595.0,0.5669373
396405.0,4751595.0,0.5374015
396435.0,4751595.0,0.51530766
396465.0,4751595.0,0.5111246
396495.0,4751595.0,0.45031175
396525.0,4751595.0,0.42771813
396555.0,4751595.0,0.44798693
396585.0,4751595.0,0.43570235
396615.0,4751595.0,0.43418846
396645.0,4751595.0,0.45122084
396675.0,4751595.0,0.50424474
396705.0,4751595.0,0.5461007
396735.0,4751595.0,0.5436172
396765.0,4751595.0,0.5330704
396795.0,4751595.0,0.5173676
396825.0,4751595.0,0.53956133
396855.0,4751595.0,0.5610045
396885.0,4751595.0,0.5355246
396915.0,4751595.0,0.53926194
396945.0,4751595.0,0.5684217
396975.0,4751595.0,0.57696813
397005.0,4751595.0,0.58235276
397035.0,4751595.0,0.5567675
397065.0,4751595.0,0.52636284
397095.0,4751595.0,0.54163903
397125.0,4751595.0,0.5331781
397155.0,4751595.0,0.4702831
397185.0,4751595.0,0.4185644
397215.0,4751595.0,0.4946372
397245.0,4751595.0,0.5457718
397275.0,4751595.0,0.5761391
397305.0,4751595.0,0.55971664
397335.0,4751595.0,0.48477194
397365.0,4751595.0,0.4440678
397395.0,4751595.0,0.50856787
397425.0,4751595.0,0.53426015
397455.0,4751595.0,0.50229174
397485.0,4751595.0,0.50027245
397515.0,4751595.0,0.5068901
397545.0,4751595.0,0.4602964
397575.0,4751595.0,0.47579658
397605.0,4751595.0,0.5337792
397635.0,4751595.0,0.55549085
