FIPS,x,y,pop,cancer,poverty,smoking,PM25,NO2,SO2
13099,1049875.392,977774.6751,107958,76,27.16,27.16,26.52,0.65,0.01
51155,1340728.098,1665907.142,54529.13333,74,13.79,13.79,29.42,1.44,0.03
54073,1261607.333,1915191.247,108557.9333,81,13.41,13.41,31.09,3.82,0.31
51171,1489940.523,1896026.698,58077.53333,68,9.49,9.49,26.19,1.61,0.07
37167,1413285.618,1479056.188,237907.4667,70,13.29,13.29,26.78,2.12,0.05
51185,1265973.084,1661117.007,680526.6,85,16.86,16.86,29.04,1.15,0.03
13187,1089047.823,1347799.341,51130.46667,72,14.45,14.45,25.31,1.16,0.05
13147,1186214.801,1335649.717,260883.9333,64,17.23,17.23,26.83,1.25,0.03
54107,1234436.881,1892845.955,87393.26667,77,15.50,15.50,30.10,4.16,0.33
54041,1323938.678,1882650.824,242020.0667,87,18.65,18.65,30.57,2.17,0.14
51175,1660955.711,1685061.662,49001.73333,73,14.97,14.97,26.35,1.65,0.05
13027,1181516.343,940200.0498,44368.26667,76,23.59,23.59,26.68,0.69,0.01
13127,1367612.98,1010378.056,69072,75,16.02,16.02,24.21,0.68,0.02
13153,1150012.808,1117688.327,11261.66667,70,12.15,12.15,24.45,0.94,0.05
13181,1241432.538,1280516.511,41676,76,18.13,18.13,27.75,1.27,0.03
54005,1237814.756,1758586.578,63828.4,117,19.41,19.41,33.33,2.08,0.11
54035,1227296.869,1849010.747,184513.8667,79,15.85,15.85,28.87,3.21,0.31
24023,1417357.194,1959178.546,93507.26667,49,13.27,13.27,22.79,2.22,0.21
13207,1118726.876,1176047.921,74751.06667,62,12.61,12.61,25.11,1.69,0.14
13219,1151027.256,1272737.377,113146.7333,50,7.32,7.32,17.79,1.81,0.09
13221,1182710.86,1282146.612,41106.46667,68,14.15,14.15,26.15,1.30,0.06
13319,1190786.057,1161735.547,31068.8,71,18.15,18.15,26.35,1.04,0.08
54023,1432264.469,1913616.709,157066.1333,51,15.19,15.19,28.71,1.85,0.13
54093,1400892.182,1909096.143,17182.66667,64,16.08,16.08,27.87,1.55,0.15
36059,1859870.436,2189947.365,35441.6,47,5.73,5.73,18.82,13.06,0.03
36075,1588690.728,2436988.083,144864.7333,79,14.71,14.71,28.18,2.19,0.01
13259,1046643.494,1062076.282,142667.8,71,28.12,28.12,27.22,0.79,0.02
37073,1702334.911,1662006.436,54275.13333,71,15.39,15.39,25.74,1.51,0.04
51199,1696239.433,1752034.183,297233.2667,68,4.80,4.80,18.16,2.27,0.06
36079,1828676.407,2261806.233,51531.06667,61,5.00,5.00,19.14,3.03,0.03
51820,1477903.628,1803796.554,34599.86667,63,13.75,13.75,25.95,1.56,0.03
36063,1387460.155,2371359.136,43376.73333,72,12.09,12.09,27.27,3.77,0.05
13007,1093091.067,983304.1776,34450.26667,63,24.61,24.61,26.11,0.76,0.01
24021,1575637.407,1982508.773,42381.26667,55,5.35,5.35,19.73,3.66,0.11
36089,1647135.996,2571722.277,63269.46667,77,16.67,16.67,25.84,0.99,0.00
13271,1225504.006,1068331.624,39645.46667,73,28.99,28.99,28.65,0.65,0.01
13229,1302309.007,1014963.543,25620.4,92,18.45,18.45,28.42,0.65,0.01
45041,1486637.477,1345492.052,37402.26667,77,18.07,18.07,26.13,1.31,0.04
37125,1481683.846,1490671.681,121851.4,61,12.48,12.48,23.59,1.64,0.03
42065,1408466.268,2139659.345,100804.8667,58,13.13,13.13,27.07,2.76,0.21
34027,1778629.855,2185127.613,372926.2,49,4.01,4.01,16.96,6.31,0.05
37019,1617731.315,1374464.226,61892.73333,68,14.13,14.13,29.45,0.79,0.02
37083,1623563.726,1624783.652,43499.2,71,24.41,24.41,27.96,1.66,0.03
13075,1191026.254,976480.7218,210344.5333,81,21.28,21.28,28.88,0.68,0.01
45029,1420276.636,1202878.044,26615.6,81,21.51,21.51,27.52,1.01,0.03
45043,1531529.213,1286308.015,58189.46667,64,17.56,17.56,26.10,1.07,0.04
37033,1473661.73,1612333.892,69144.33333,73,16.92,16.92,29.27,2.21,0.11
37049,1697494.859,1510019.832,61327.86667,72,14.31,14.31,24.64,1.35,0.01
13211,1149571.168,1245032.103,45206.93333,60,13.49,13.49,23.53,1.63,0.13
42101,1751441.689,2080937.922,211368.3333,80,22.82,22.82,29.42,6.89,0.06
36085,1817579.991,2161994.379,13481.93333,58,10.35,10.35,23.71,9.37,0.03
34003,1814401.264,2204752.455,33334.66667,48,5.89,5.89,18.34,9.02,0.04
36011,1567737.518,2374439.526,29653.13333,61,12.30,12.30,27.77,2.13,0.03
37145,1505394.763,1617645.776,40548.06667,74,13.61,13.61,27.37,2.13,0.10
51007,1572483.12,1737932.54,73812.53333,82,10.15,10.15,28.57,1.99,0.06
