FIDs,FIPS,code,X,Y,cancer,poverty,smoking,PM25,NO2,SO2
58,13111.0,GA,1056523.935757973,1376613.1903810475,74.63724863642858,11.828571428571427,26.192857142857143,13.635714285714286,3.508071428571429,0.07345008228571429
427,42115.0,PA,1653442.0644805834,2267301.476320151,66.34270519500001,9.25,23.478571428571424,14.329285714285716,5.074071428571428,0.07254734649999998
407,42075.0,PA,1633708.2752291786,2096683.0591228849,69.71635412571428,11.335714285714287,27.621428571428577,12.487857142857143,3.730714285714285,0.06111582457142858
593,51683.0,VA,1584048.8516379998,1901443.4012355662,62.711264358571434,17.72857142857143,22.257142857142856,13.709999999999999,5.594500000000002,0.15873860449999996
236,36057.0,NY,1735811.102441971,2409536.4928255174,77.56914469142858,19.278571428571432,27.55714285714286,12.24714285714286,0.7313571428571429,0.009293332357142857
77,13149.0,GA,1003646.7513035433,1193901.7502875694,93.1731409957143,24.02142857142857,28.37142857142857,12.117142857142856,0.6541428571428571,0.008093935
346,37153.0,NC,1463896.2021428708,1452940.212620239,96.71290080857145,20.435714285714287,29.935714285714287,12.150714285714287,0.6697857142857143,0.008950421928571428
599,51735.0,VA,1716542.53258685,1743450.7166153672,63.89852512857143,24.507142857142856,26.10714285714286,12.735714285714284,0.7925000000000001,0.010315429142857144
271,37003.0,NC,1320295.844693484,1533038.9974847233,67.93079123142856,20.342857142857145,26.635714285714283,12.557857142857143,1.369071428571429,0.12549340585714283
301,37063.0,NC,1520852.1452638765,1580156.8754162316,60.011697258571424,14.071428571428571,28.13571428571429,13.110714285714282,1.4549285714285711,0.039774932642857135
254,36093.0,NY,1768117.6209384396,2407434.526782028,82.60281264000001,11.1,27.599999999999998,13.357857142857142,2.299,0.08392424192857144
584,51590.0,VA,1463355.627645941,1632109.5612338604,86.752188275,12.214285714285714,27.764285714285716,13.762857142857142,2.6102142857142856,0.20908483385714285
585,51600.0,VA,1597510.1099480141,1916180.7319224754,95.7695334907143,22.628571428571426,28.77142857142857,12.73,0.6682142857142858,0.01122022642857143
580,51530.0,VA,1445710.5233019977,1759556.9156379097,87.97519704357141,19.264285714285716,29.13571428571428,12.489285714285714,0.6822857142857143,0.008144361285714285
360,37181.0,NC,1555147.5959941777,1623916.9945784088,75.02751537714286,21.01428571428571,25.535714285714285,12.912142857142856,1.3855714285714282,0.10445195228571429
5,13003.0,GA,1240686.9903268288,999295.8720268662,85.3102889157143,17.378571428571426,28.1,12.46357142857143,0.9193571428571428,0.040564502428571424
522,51081.0,VA,1622534.834445154,1672340.5748658786,99.38132288142857,17.964285714285715,30.05,11.263571428571428,0.6912142857142857,0.016166034142857142
215,36015.0,NY,1568845.6152792806,2286060.4034193256,76.24567673571427,23.35714285714286,26.72142857142857,12.01142857142857,0.7147857142857144,0.0078150155
605,51790.0,VA,1462544.7575140276,1811357.667671743,92.6284165292857,10.514285714285714,24.014285714285712,11.512857142857143,0.9792857142857142,0.010784790857142857
348,37157.0,NC,1434932.9388899957,1605912.8877649514,67.32995391071428,22.74285714285714,22.57857142857143,11.917142857142855,0.9102857142857143,0.015123864714285715
62,13119.0,GA,1161855.5768432657,1335144.3833662253,81.40433750000001,24.857142857142854,27.842857142857138,12.038571428571428,1.0763571428571428,0.02805574149999999
370,42001.0,PA,1581875.0637154286,2029400.6545478252,90.90126243928572,14.364285714285712,29.214285714285715,12.622142857142858,2.0852142857142852,0.16727624964285717
581,51540.0,VA,1514326.8244861714,1806985.039366806,81.50326050071429,30.414285714285715,26.72142857142858,12.397142857142857,0.7777857142857142,0.011966098571428569
186,24510.0,MD,1644880.3868551159,1977469.4499500792,72.91778399571429,11.799999999999999,25.192857142857147,10.675,0.7738571428571429,0.02829733850000001
422,42105.0,PA,1485798.5301764775,2224296.6234035385,77.65786419714284,23.54285714285714,27.607142857142854,12.285714285714286,0.8053571428571431,0.01577664507142857
89,13173.0,GA,1227378.7245970366,968358.8725362791,77.35782342928573,15.02857142857143,26.799999999999994,12.827142857142858,1.8594285714285719,0.19738431757142857
87,13169.0,GA,1151573.4135568945,1181611.1185500973,73.45151533642857,11.414285714285715,27.72142857142857,13.385000000000002,2.769428571428571,0.10373658649999999
262,36109.0,NY,1584749.02135756,2324857.448090487,83.85180010642857,22.435714285714287,30.821428571428577,10.950000000000003,0.7767142857142859,0.024268114428571436
234,36053.0,NY,1638111.9374545568,2388843.960443082,66.15367906142858,17.04285714285714,24.342857142857145,11.294285714285715,1.0829285714285715,0.01040730392857143
273,37007.0,NC,1432790.7088670814,1443984.9899973457,88.34207476357143,18.535714285714285,20.728571428571428,12.509285714285713,0.816357142857143,0.029748955500000004
367,37195.0,NC,1611858.9126467346,1559545.4233533998,87.48480551642858,17.07857142857143,30.557142857142857,13.49,1.9792857142857145,0.16697892907142858
649,54077.0,WV,1385413.7861693664,1946823.6797890896,61.97183530285714,6.7071428571428555,22.514285714285712,13.685000000000002,2.5471428571428567,0.16204058871428573
526,51089.0,VA,1420848.108885542,1636040.4672789052,61.80280904071428,25.49285714285714,19.192857142857143,13.192857142857141,1.7650000000000001,0.07281950664285715
