SiteID,long,lat,x,y,FIPS,STATE,COUNTY,SOC,DEM,Slope,MAP,MAT,NDVI,NLCD,NLCD_DES
1,-104.44425,39.95647999,-714067.4402021829,1913846.648965944,8001,Colorado,Adams County,2.3040000000000003,1551.1300048828125,1.3014099597930908,384.4010009765625,9.79839038848877,0.3317070007324219,7,Planted/Cultivated
2,-105.92723000000001,37.60193997,-866565.8624732665,1663513.059376005,8003,Colorado,Alamosa County,3.154,2308.68994140625,0.8581100106239319,194.2819976806641,5.36274003982544,0.4304659962654114,7,Planted/Cultivated
3,-104.8406783,39.64298018,-750759.1595973973,1881917.2991299194,8005,Colorado,Arapahoe County,1.3090000000000002,1689.9300537109375,2.9625699520111084,469.2550048828125,10.05500030517578,0.4712629914283752,6,Herbaceous
4,-104.50487009999999,39.61835,-722566.3642776893,1876565.5590231146,8005,Colorado,Arapahoe County,4.717,1822.1700439453125,2.714050054550171,470.2380065917969,9.396209716796877,0.3969610035419464,6,Herbaceous
5,-104.42155,39.61246003,-715564.6083915606,1875277.6787462842,8005,Colorado,Arapahoe County,2.23,1758.6800537109375,1.7980699539184568,439.72198486328125,9.52606964111328,0.3488210141658783,6,Herbaceous
6,-106.87303,37.2699,-953029.7911843624,1635578.9494922238,8007,Colorado,Archuleta County,21.590999999999998,2517.139892578125,8.61106014251709,631.3380126953125,5.3045501708984375,0.6745169758796692,4,Forest
7,-106.87303,37.2699,-953029.7911843624,1635578.9494922238,8007,Colorado,Archuleta County,21.590999999999998,2517.139892578125,8.61106014251709,631.3380126953125,5.3045501708984375,0.6745169758796692,4,Forest
8,-102.80351,37.51671995,-595147.22602095,1629972.7286579271,8009,Colorado,Baca County,2.983,1404.97998046875,1.6087199449539185,421.3150024414063,11.793899536132812,0.3053329885005951,6,Herbaceous
9,-102.80351,37.51671995,-595147.22602095,1629972.7286579271,8009,Colorado,Baca County,2.983,1404.97998046875,1.6087199449539185,421.3150024414063,11.793899536132812,0.3053329885005951,6,Herbaceous
10,-102.80351,37.51671995,-595147.22602095,1629972.7286579271,8009,Colorado,Baca County,2.983,1404.97998046875,1.6087199449539185,421.3150024414063,11.793899536132812,0.3053329885005951,6,Herbaceous
11,-102.53589759999998,37.64558925,-570782.5959445164,1642738.278594529,8009,Colorado,Baca County,4.569,1317.9200439453125,1.8549699783325195,417.85198974609375,11.940600395202635,0.3344320058822632,6,Herbaceous
12,-102.3766499,37.34450004,-559158.9957155103,1608126.4083653775,8009,Colorado,Baca County,6.129,1221.199951171875,1.0647599697113037,443.0650024414063,12.131400108337402,0.3663260042667389,7,Planted/Cultivated
13,-102.3766499,37.34450004,-559158.9957155103,1608126.4083653775,8009,Colorado,Baca County,6.129,1221.199951171875,1.0647599697113037,443.0650024414063,12.131400108337402,0.3663260042667389,7,Planted/Cultivated
14,-102.3766499,37.34450004,-559158.9957155103,1608126.4083653775,8009,Colorado,Baca County,6.129,1221.199951171875,1.0647599697113037,443.0650024414063,12.131400108337402,0.3663260042667389,7,Planted/Cultivated
15,-105.46141999999999,40.03581,-798929.4271131797,1930793.1485174077,8013,Colorado,Boulder County,15.302999999999999,2424.139892578125,16.101299285888672,537.177001953125,5.879690170288086,0.6083980202674866,4,Forest
16,-106.3109,38.71356001,-886436.391286794,1790940.12942046,8015,Colorado,Chaffee County,4.555,3471.050048828125,24.94079971313477,548.7639770507811,-0.3424740135669708,0.5067359805107117,4,Forest
17,-102.90465999999999,38.82406998,-593343.1207807189,1776755.4592896202,8017,Colorado,Cheyenne County,1.611,1353.52001953125,0.9483500123023988,392.39300537109375,10.35509967803955,0.360603004693985,5,Shrubland
18,-102.90465999999999,38.82406998,-593343.1207807189,1776755.4592896202,8017,Colorado,Cheyenne County,1.611,1353.52001953125,0.9483500123023988,392.39300537109375,10.35509967803955,0.360603004693985,5,Shrubland
19,-102.90465999999999,38.82406998,-593343.1207807189,1776755.4592896202,8017,Colorado,Cheyenne County,1.611,1353.52001953125,0.9483500123023988,392.39300537109375,10.35509967803955,0.360603004693985,5,Shrubland
20,-102.155362,38.96903104,-527997.0740263185,1788544.3698778693,8017,Colorado,Cheyenne County,6.334,1235.010009765625,1.3251800537109375,436.97900390625,10.40310001373291,0.3920759856700897,6,Herbaceous
21,-106.21958000000001,36.99902004,-899240.2722405997,1599043.7892024536,8021,Colorado,Conejos County,12.02,2692.3701171875,7.89132022857666,451.7409973144531,4.263020038604736,0.3831590116024017,6,Herbaceous
22,-105.3156,37.18439003,-817931.8736611698,1611538.599195733,8023,Colorado,Costilla County,3.678,3000.699951171875,13.417200088500975,522.2670288085939,3.8805201053619385,0.5642369985580444,4,Forest
23,-103.89461,38.31013995,-683009.5661249657,1725972.5584614389,8025,Colorado,Crowley County,1.665,1400.3199462890625,1.277109980583191,295.1210021972656,11.299200057983398,0.25647199153900146,6,Herbaceous
24,-105.12488,38.06527002,-791773.6560437179,1708181.8491675006,8027,Colorado,Custer County,16.652,2860.6201171875,14.514800071716307,636.7269897460938,4.097549915313722,0.6777520179748535,4,Forest
25,-108.72641999999999,37.82026002,-1106344.7891785363,1716868.6089778715,8033,Colorado,Dolores County,5.995,2229.56005859375,6.229159832000732,449.9909973144531,7.950850009918213,0.5211780071258545,4,Forest
