"SiteID","long","lat"
1,-104.44425,39.95647999
2,-105.92723,37.60193997
3,-104.8406783,39.64298018
4,-104.5048701,39.61835
5,-104.42155,39.61246003
6,-106.87303,37.2699
7,-106.87303,37.2699
8,-102.80351,37.51671995
9,-102.80351,37.51671995
10,-102.80351,37.51671995
11,-102.5358976,37.64558925
12,-102.3766499,37.34450004
13,-102.3766499,37.34450004
14,-102.3766499,37.34450004
15,-105.46142,40.03581
16,-106.3109,38.71356001
17,-102.90466,38.82406998
18,-102.90466,38.82406998
19,-102.90466,38.82406998
20,-102.155362,38.96903104
21,-106.21958,36.99902004
22,-105.3156,37.18439003
23,-103.89461,38.31013995
24,-105.12488,38.06527002
25,-108.72642,37.82026002
26,-108.65148,37.73378
27,-108.65148,37.73378
28,-108.40023,37.65977995
29,-108.14849,37.74476
30,-104.6879828,39.15531456
31,-104.66926,39.50217996
32,-106.56149,39.91398996
33,-104.24721,39.14085996
34,-104.0096334,39.44205112
35,-103.8904025,39.44617792
36,-105.00798,38.97708999
37,-105.00798,38.97708999
38,-105.00798,38.97708999
39,-104.8102829,38.94078518
40,-104.729801,38.64987718
41,-104.53521,38.92890004
42,-104.16236,38.64345999
43,-104.16236,38.64345999
44,-104.16236,38.64345999
45,-104.0758277,38.95179339
46,-108.7419301,39.50625001
47,-107.47508,39.38085996
48,-107.1587126,39.80164283
49,-106.4483597,40.26143251
50,-106.1465254,40.0486135
51,-106.1465254,40.0486135
52,-106.1465254,40.0486135
53,-105.9317535,40.14864837
54,-107.49408,38.72136997
55,-107.09841,38.35968999
56,-106.91317,38.86514002
57,-106.8537529,38.65417059
58,-104.67445,37.72276998
59,-106.4575099,40.71411998
60,-106.4575099,40.71411998
61,-106.1199,40.39921003
62,-106.1199,40.39921003
63,-106.1199,40.39921003
64,-102.89763,38.58310996
65,-102.67776,38.49740996
66,-102.67776,38.49740996
67,-102.67776,38.49740996
68,-102.6443501,38.27468998
69,-102.2435201,38.39936997
70,-102.7579928,39.25470506
71,-102.7579928,39.25470506
72,-102.7579928,39.25470506
73,-102.54069,39.43278999
74,-106.3170502,39.2990562
75,-106.2548258,39.23014258
76,-107.8054999,37.53461064
77,-105.91983,40.79772
78,-105.4820954,40.84707337
79,-105.34428,40.57124
80,-104.9563264,40.7084946
81,-104.9098287,37.13303052
82,-104.60513,37.12013999
83,-103.57657,38.56455001
84,-103.14659,40.59711003
85,-103.14659,40.59711003
86,-103.14659,40.59711003
87,-103.08431,40.53503002
88,-103.05801,40.84219004
89,-103.05801,40.84219004
90,-108.79555,38.84402001
91,-108.60023,38.78655003
92,-108.60023,38.78655003
93,-108.60023,38.78655003
94,-108.2732,39.31705998
95,-107.6902901,39.32366083
96,-106.91402,37.69708001
97,-109.04304,40.44604002
98,-108.58555,40.30018003
99,-107.49241,40.36857003
100,-107.5538373,40.8313209
101,-108.9170101,37.58697
102,-108.9170101,37.58697
103,-108.9170101,37.58697
104,-108.3863301,37.42488002
105,-108.27773,37.39972997
106,-108.38184,38.41630002
107,-107.65141,38.64693999
108,-103.6054301,40.08761002
109,-103.6054301,40.08761002
110,-103.6054301,40.08761002
111,-103.98769,37.87116003
112,-108.102805,38.33221505
113,-107.6901151,38.05305846
114,-105.9184542,39.27477929
115,-105.6483947,38.84398147
116,-105.6483947,38.84398147
117,-105.6483947,38.84398147
118,-102.4377199,40.62343996
119,-102.37958,40.48980997
120,-102.2723,40.49724001
121,-102.4668099,37.95591004
122,-107.86129,39.89588998
123,-107.86129,39.89588998
124,-107.86129,39.89588998
125,-107.79405,40.14522996
126,-107.3869142,40.07326332
127,-106.69851,37.53323004
128,-106.3666274,37.4135819
129,-106.0667734,37.56274856
130,-106.0667734,37.56274856
131,-107.3388286,40.32935812
132,-107.1205,40.72010003
133,-106.9405861,40.43805478
134,-106.5726943,38.2122891
135,-105.99534,38.11812997
136,-105.99534,38.11812997
137,-105.99534,38.11812997
138,-105.95476,38.17539998
139,-105.88127,37.79412996
140,-105.88127,37.79412996
141,-105.88127,37.79412996
142,-105.8886099,38.27434001
143,-107.6142869,37.82282172
144,-108.2472981,37.97617935
145,-108.2472981,37.97617935
146,-106.3113501,39.89649998
147,-103.2675293,39.74840781
148,-102.9093299,40.09418998
149,-104.83502,40.10837004
150,-104.49756,40.39664999
151,-104.49756,40.39664999
152,-104.49756,40.39664999
153,-104.4320164,40.91301225
154,-104.3802599,40.52391996
155,-102.74502,39.69928998
156,-102.6937791,40.00430678
157,-102.3079527,39.80422587
158,-102.3079527,39.80422587
159,-102.3079527,39.80422587
160,-95.18900004,37.93123002
161,-95.18900004,37.93123002
162,-95.18900004,37.93123002
163,-95.52098663,39.56081578
164,-98.69459998,37.03674999
165,-98.59475995,37.25646
166,-98.98737997,38.49327002
167,-98.98737997,38.49327002
168,-98.98737997,38.49327002
169,-98.66794825,38.49984551
170,-95.60391998,39.75304001
171,-95.60391998,39.75304001
172,-95.60391998,39.75304001
173,-95.37215319,39.88232889
174,-95.3651564,39.84798828
175,-96.92496006,37.65049002
176,-96.8533888,38.04864257
177,-96.70336784,37.54351069
178,-96.78932018,38.35691377
179,-96.56494231,38.43159248
180,-96.56494231,38.43159248
181,-96.56494231,38.43159248
182,-96.22429057,37.01525989
183,-101.8796,39.58041001
184,-101.8103584,39.7498984
185,-101.4684246,39.81329202
186,-100.00687,37.34108003
187,-100.00687,37.34108003
188,-100.00687,37.34108003
189,-97.71234598,39.4407911
190,-95.71590001,38.08414004
191,-100.4254345,39.63251235
192,-100.29245,39.76302998
193,-97.00732979,38.89842663
194,-95.01079355,39.81130609
195,-98.39495576,38.52128672
196,-97.96907004,38.60025001
197,-100.33519,38.17113004
198,-100.0318235,37.88073567
199,-99.63696448,37.58943012
200,-100.15742,39.00033
201,-100.10159,39.34804998
202,-99.92172998,39.23278997
203,-99.87967272,39.49799327
204,-99.87967272,39.49799327
205,-99.87967272,39.49799327
206,-100.561489,37.93107667
207,-96.16241035,37.98819214
208,-96.06479269,37.64499629
209,-96.06479269,37.64499629
210,-101.76923,37.74132429
211,-98.11371001,37.06444996
212,-98.05867,37.32921999
213,-98.05867,37.32921999
214,-98.05867,37.32921999
215,-101.0428947,37.55756279
216,-95.48475339,39.13829671
217,-98.41123116,39.7380801
218,-101.15766,37.92533999
219,-101.15766,37.92533999
220,-101.15766,37.92533999
221,-98.08104997,37.48510003
222,-99.32518632,37.62712736
223,-95.36933051,37.12323986
224,-100.46048,38.27724996
225,-100.4695101,38.56851003
226,-100.4695101,38.56851003
227,-100.4695101,38.56851003
228,-98.12000373,39.20715788
229,-101.3571524,38.96031369
230,-101.3571524,38.96031369
231,-101.3571524,38.96031369
232,-101.10436,38.74379004
233,-96.19007585,38.25740492
234,-97.70401999,38.32076997
235,-97.09350999,38.36187997
236,-96.35167998,39.96077997
237,-96.35167998,39.96077997
238,-95.80377321,37.22847609
239,-95.80377321,37.22847609
240,-95.80377321,37.22847609
241,-101.7652296,37.36698678
242,-101.7652296,37.36698678
243,-101.7652296,37.36698678
244,-101.5665095,37.34455443
245,-95.23890906,37.69142105
246,-99.99603296,39.78865799
247,-95.67702799,38.68061822
248,-95.55413379,38.67139262
249,-97.53615756,39.15506986
250,-99.53576499,38.27941818
251,-99.53576499,38.27941818
252,-99.53576499,38.27941818
253,-99.52685001,38.20008999
254,-96.17549,39.27077998
255,-97.63001227,39.8728028
256,-98.19079192,38.36273937
257,-96.54289699,39.13100059
258,-96.44198867,39.12880056
259,-96.44198867,39.12880056
260,-98.77331999,38.72389
261,-97.3132509,37.79084054
262,-100.72556,37.26948004
263,-95.93802996,39.08395001
264,-98.89445001,38.16624998
265,-98.89445001,38.16624998
266,-98.89445001,38.16624998
